mlp_type,training_size,predictors,nodes,activation,dropout,optimizer,learning_rate,epochs,MSE,R^2,observed_total_runoff,predicted_total_runoff,proportion_runoff_predicted
N9_random_year,9,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.443441864250937,0.7223648022749448,769.0741534394226,1017.0957,1.3224936744738922
N10_random_year,10,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,15.678831315109102,0.6196078519115158,769.0741534394226,1229.6522,1.5988734196572412
N11_random_year,11,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,8.788345697617485,0.786781448765294,769.0741534394226,993.75684,1.292146968524765
N12_random_year,12,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,7.609137906043335,0.8153908122991249,769.0741534394226,842.66693,1.0956900935804466
N13_random_year,13,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.97695126306965,0.75794408103135,769.0741534394226,1102.5482,1.4336045657530754
N14_random_year,14,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,14.09388339700232,0.6580610842385972,769.0741534394226,1199.0956,1.5591416974450907
N15_random_year,15,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.58573612524064,0.7189125284089473,769.0741534394226,1092.3699,1.4203700230486518
N16_random_year,16,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,10.379880742556221,0.748168402784058,769.0741534394226,712.58606,0.926550523617929
N17_random_year,17,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,7.849900133862081,0.8095495567120272,769.0741534394226,811.7222,1.05545378865452
N18_random_year,18,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.05595240397579,0.7802889055502634,769.0741534394226,998.6276,1.2984802831374533
N19_random_year,19,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,8.95590337600603,0.7827162462045957,769.0741534394226,934.3248,1.2148696259302336
N20_random_year,20,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.902618556741706,0.7597475048494295,769.0741534394226,961.35645,1.250017883208219
N21_random_year,21,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.079582152501128,0.7069310772816841,769.0741534394226,1073.0243,1.395215646233138
N1_random_year,1,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,7.799421936598211,0.810774234081337,769.0741534394226,751.9244,0.9777007510637046
N2_random_year,2,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,6.27154784940364,0.8478427689967297,769.0741534394226,666.6943,0.866879054406887
N3_random_year,3,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.6495718941507285,0.8871943574771771,769.0741534394226,731.7247,0.9514357843619715
N4_random_year,4,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.1230071583572805,0.8999696139315975,769.0741534394226,813.22614,1.0574092649155207
N5_random_year,5,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,3.7387975358704364,0.9092911201508267,769.0741534394226,829.0337,1.0779632727204247
N6_random_year,6,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,3.615541590711255,0.9122814956961389,769.0741534394226,772.4021,1.0043272110433945
N7_random_year,7,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.023256765410196,0.9023897092488579,769.0741534394226,802.5928,1.0435830795355385
N8_random_year,8,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.885345200259041,0.8814741406721123,769.0741534394226,724.4889,0.9420273563498817
N9_random_year,9,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.138416122753653,0.8995957691628929,769.0741534394226,831.2915,1.0808990266914853
N10_random_year,10,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.366987367374669,0.8940502852562665,769.0741534394226,747.47296,0.9719127317996095
N11_random_year,11,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.330152211597972,0.8949439618160474,769.0741534394226,740.86163,0.9633162549898856
N12_random_year,12,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.268697258273262,0.8964349518800413,769.0741534394226,679.41565,0.8834202090599548
N13_random_year,13,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,3.8763481082064373,0.9059539353422071,769.0741534394226,757.2929,0.9846812616548206
N14_random_year,14,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.2938260178132,0.8958252901885487,769.0741534394226,794.5614,1.0331401696621605
N15_random_year,15,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.299130541339631,0.895696594429391,769.0741534394226,804.8168,1.0464748670354713
N16_random_year,16,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,3.944057608115938,0.9043112005235888,769.0741534394226,750.11304,0.9753455291076284
N17_random_year,17,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.273232992214163,0.8963249081183436,769.0741534394226,805.9541,1.0479536959578533
N18_random_year,18,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.108212354371934,0.9003285582403554,769.0741534394226,826.66296,1.0748806993060662
N19_random_year,19,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.370573105896612,0.8939632898194618,769.0741534394226,817.298,1.0627037327645523
N20_random_year,20,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,3.6111165446454714,0.9123888540026686,769.0741534394226,837.53436,1.0890163959448917
N21_random_year,21,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.265425292239398,0.8965143347219815,769.0741534394226,829.22394,1.0782106436419157
N1_random_year,1,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.885344707496069,0.6873820596933373,769.0741534394226,918.01843,1.1936669936333997
N2_random_year,2,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,13.552408440190694,0.6711980851934582,769.0741534394226,1114.4613,1.4490947312777167
N3_random_year,3,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.005220689746956,0.7815197336243636,769.0741534394226,1082.2354,1.4071924621605998
N4_random_year,4,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.182875344249048,0.7772095631603926,769.0741534394226,940.3286,1.2226761347731556
N5_random_year,5,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.358597744086493,0.7001617372651832,769.0741534394226,1052.4377,1.3684476840548536
N6_random_year,6,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.830999871907789,0.7129620591700161,769.0741534394226,1132.4429,1.4724755292181961
N7_random_year,7,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,8.394168394047067,0.7963447859949244,769.0741534394226,912.10767,1.1859814322670104
N8_random_year,8,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.97680468186172,0.7094246140795417,769.0741534394226,940.8572,1.2233634084915106
N9_random_year,9,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,10.693616290881835,0.7405567041337708,769.0741534394226,926.69727,1.204951774130832
N10_random_year,10,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,13.432200800780885,0.6741145042334207,769.0741534394226,1129.344,1.4684461687992219
N11_random_year,11,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.860145668588618,0.7607779613187522,769.0741534394226,951.9333,1.2377652848129415
N12_random_year,12,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.28362391638735,0.7747652505070888,769.0741534394226,1018.3314,1.3241004347165959
N13_random_year,13,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,10.844025904830213,0.7369075395376923,769.0741534394226,1151.1417,1.4967889877519907
N14_random_year,14,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,15.230492391238993,0.6304852319212289,769.0741534394226,1298.985,1.6890243672112681
N15_random_year,15,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,14.89203802976082,0.638696646343969,769.0741534394226,1159.6387,1.507837269902922
N16_random_year,16,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,10.091296108515467,0.7551699022352516,769.0741534394226,946.1022,1.2301832906754728
N17_random_year,17,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.82886337423826,0.7615369170665319,769.0741534394226,876.18054,1.139266659884184
N18_random_year,18,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.121006732735875,0.7059260543471001,769.0741534394226,1051.8682,1.3677070791657442
N19_random_year,19,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,13.643022247568641,0.6689996572531208,769.0741534394226,1197.2867,1.5567897293253254
N20_random_year,20,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.328626099152274,0.7736734295271588,769.0741534394226,909.0601,1.1820188151733406
N21_random_year,21,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,10.064009515538636,0.7558319162277404,769.0741534394226,931.82,1.211612694506727
N1_random_year,1,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,7.226498109512567,0.8246742321676845,769.0741534394226,816.87006,1.0621473267553854
