mlp_type,training_size,predictors,nodes,activation,dropout,optimizer,learning_rate,epochs,MSE,R^2,observed_total_runoff,predicted_total_runoff,proportion_runoff_predicted
N9_random_year,9,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.0421369391933397,0.7970125877100325,291.4553639226843,323.26984,1.1091572722316976
N10_random_year,10,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.0182667602522675,0.8016620206894424,291.4553639226843,287.42267,0.9861635915312137
N11_random_year,11,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.9944921724410989,0.8062928344304707,291.4553639226843,270.86813,0.9293640367407213
N12_random_year,12,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.0050009953305614,0.8042459261170616,291.4553639226843,319.2942,1.09551660040069
N13_random_year,13,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.0103906066068866,0.803196137739848,291.4553639226843,270.77097,0.9290306478902222
N14_random_year,14,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.9958651793138137,0.8060254001791098,291.4553639226843,300.67328,1.0316271924518594
N15_random_year,15,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.0032330205664015,0.8045902922064629,291.45536392268434,317.84427,1.0905418398240359
N16_random_year,16,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.9673956291297707,0.8115706985977528,291.4553639226843,287.1797,0.9853299099898586
N17_random_year,17,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.0921597211585377,0.7872691512337088,291.4553639226843,252.70967,0.8670613147045916
N18_random_year,18,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.0728385399446383,0.7910325305262907,291.4553639226843,250.66818,0.8600568505561722
N19_random_year,19,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.9720915726634971,0.8106560228096469,291.4553639226843,275.4644,0.9451340413806961
N20_random_year,20,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.0052223287901916,0.8042028147901967,291.4553639226843,283.56024,0.9729113847238717
N21_random_year,21,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.366729885010784,0.7337883801792437,291.4553639226843,332.55377,1.1410109853420791
N1_random_year,1,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.0249319006899953,0.8003637847675387,291.4553639226843,225.48975,0.7736681976234505
N2_random_year,2,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.882144526358028,0.8281759067001513,291.4553639226843,213.84567,0.7337167164442707
N3_random_year,3,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.6553747479875193,0.8723461196211417,291.4553639226843,232.70398,0.7984206444521569
N4_random_year,4,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.9152806931636828,0.821721644788761,291.4553639226843,238.29138,0.8175913410162874
N5_random_year,5,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.780781438474343,0.8479194069422176,291.4553639226843,228.65907,0.7845423388283703
N6_random_year,6,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.603758073512399,0.8824000144488486,291.4553639226843,282.21832,0.9683071841792269
N7_random_year,7,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.6517999988512535,0.8730424091868086,291.45536392268434,266.28223,0.9136295279613995
N8_random_year,8,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.5823730250099957,0.8865653937708391,291.4553639226843,242.11133,0.8306977949090893
N9_random_year,9,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.660813962029769,0.8712866696181678,291.4553639226843,246.22757,0.8448208544392961
N10_random_year,10,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.5447954504560768,0.8938847529951053,291.4553639226843,334.33124,1.1471095720909714
N11_random_year,11,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.6740391220087928,0.8687106732204768,291.4553639226843,266.21832,0.9134102703442686
N12_random_year,12,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.8606161058243891,0.8323692120235344,291.4553639226843,234.07458,0.8031232700971376
N13_random_year,13,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.6096999279011823,0.8812426601691736,291.4553639226843,258.77805,0.8878822546664268
N14_random_year,14,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.5787553805452296,0.8872700384877382,291.4553639226843,285.04626,0.9780100143363738
N15_random_year,15,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.5522656554579292,0.8924297066134126,291.45536392268434,283.34357,0.9721679610936755
N16_random_year,16,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.5209138284323953,0.8985364148579181,291.4553639226843,277.911,0.9535285506562515
N17_random_year,17,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.6762759897305817,0.8682749761701137,291.4553639226843,257.79025,0.8844930805731614
N18_random_year,18,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.568677216724506,0.8892330630363033,291.4553639226843,269.87073,0.9259418797680882
N19_random_year,19,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.6009125620707899,0.8829542631108536,291.4553639226843,298.57193,1.0244173444371543
N20_random_year,20,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.5374293345899962,0.8953195248970025,291.4553639226843,300.1051,1.029677747219889
N21_random_year,21,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.696257330792292,0.8643830109555045,291.4553639226843,231.41669,0.7940038704283642
N1_random_year,1,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.5139698550927696,0.7051089817349963,291.4553639226843,182.36499,0.625704697213093
N2_random_year,2,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.0160850982356373,0.8020869647736525,291.4553639226843,274.00507,0.9401270308775492
N3_random_year,3,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.126609709858434,0.7805589831198874,291.4553639226843,333.21,1.1432625118660376
N4_random_year,4,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.0091412436421825,0.8034394886332656,291.4553639226843,309.47256,1.0618180449043335
N5_random_year,5,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.931080760120692,0.8186441080611078,291.4553639226843,283.94357,0.9742266163039974
N6_random_year,6,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.0279134747761185,0.7997830338263414,291.4553639226843,256.0579,0.878549251588414
N7_random_year,7,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.9935785921520071,0.8064707815810106,291.45536392268434,265.09723,0.9095637336571022
N8_random_year,8,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.1600208536117302,0.7740511612041041,291.4553639226843,235.54602,0.8081718494990433
N9_random_year,9,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.155148333235146,0.7750002306261501,291.4553639226843,229.12437,0.7861388148973278
N10_random_year,10,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.950268885408062,0.814906645399249,291.4553639226843,306.8104,1.0526839861780632
N11_random_year,11,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.9939717446700607,0.8063942033413631,291.4553639226843,303.8147,1.042405578599059
N12_random_year,12,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.9383475382481055,0.8172286851619726,291.4553639226843,290.60852,0.9970944318763801
N13_random_year,13,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.0260567880356568,0.8001446792327225,291.4553639226843,257.68304,0.8841252429375447
N14_random_year,14,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.9609614560754118,0.8128239466973174,291.4553639226843,279.4174,0.9586970202069706
N15_random_year,15,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.9766907166609529,0.8097602016332905,291.45536392268434,295.1387,1.0126377446629216
N16_random_year,16,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.0352190111777066,0.7983600615913332,291.4553639226843,242.25934,0.8312056265438007
N17_random_year,17,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,0.9381287122235271,0.8172713080906878,291.4553639226843,292.0876,1.002169188166673
