Prediction Site,Model,Training Site,In-situ Cumulative Runoff,MAR Cumulative Runoff,Model Predicted Cumulative Runoff,MSE,normalized MSE,R^2,NSE,Error Rate
2015 Rio Behar,Rio Behar MAR Emulator,Rio Behar,51.314612143833855,96.8734560127593,70.903046,46.50733181861745,3.6252700644610396,-1.539067722008467,-1.539067722008467,0.3817320777083343
2015 Rio Behar,2015-2016 Rio Behar TL Model,2015-2016 Rio Behar,51.314612143833855,96.8734560127593,59.81492,24.6507531936778,1.9215386934686145,-0.34580783953314054,-0.34580783953314054,0.16565079651009265
2015 Rio Behar,2008-2016 AK4 TL Model,2008-2016 AK4,51.314612143833855,96.8734560127593,75.8204,60.01458675414068,4.678167426145283,-2.2764962881855864,-2.2764962881855864,0.4775595733008125
2015 Rio Behar,2019-2022 Minturn TL Model,2019-2022 Minturn,51.314612143833855,96.8734560127593,11.92393,115.95621593632788,9.03884574719613,-5.330629462864901,-5.330629462864901,0.76763090141402
2015 Rio Behar,2019-2022 North TL Model,2019-2022 North,51.314612143833855,96.8734560127593,3.8914547,159.07574235412076,12.40003466523216,-7.684739953286151,-7.684739953286151,0.924164783984967
2016 Rio Behar,Rio Behar MAR Emulator,Rio Behar,149.61065005230716,174.27643820290186,147.60426,48.87354154310222,2.9400438654209085,-0.1607935307437116,-0.1607935307437116,0.013410721402130298
2016 Rio Behar,2015-2016 Rio Behar TL Model,2015-2016 Rio Behar,149.61065005230716,174.27643820290186,124.06564,54.68117044786683,3.289408433548961,-0.2987302926144586,-0.2987302926144586,0.170743237415446
2016 Rio Behar,2008-2016 AK4 TL Model,2008-2016 AK4,149.61065005230716,174.27643820290186,157.04225,51.146032818576174,3.076748180736128,-0.2147673801508656,-0.2147673801508656,0.049672944619976234
2016 Rio Behar,2019-2022 Minturn TL Model,2019-2022 Minturn,149.61065005230716,174.27643820290186,30.059732,220.00859341191725,13.234868908162465,-4.225415304011683,-4.225415304011683,0.7990802631589111
2016 Rio Behar,2019-2022 North TL Model,2019-2022 North,149.61065005230716,174.27643820290186,8.415913,288.5883630228897,17.360363492157383,-5.854250669545908,-5.854250669545908,0.9437479041416407
2008 AK4,AK4 MAR Emulator,AK4,2563.223300291545,2712.6173709115374,2514.228,29.312336388966163,1.3151092549555454,0.8757935940168458,0.8757935940168458,0.01911471113040452
2008 AK4,2015-2016 Rio Behar TL Model,2015-2016 Rio Behar,2563.223300291545,2712.6173709115374,1315.3325,202.2203353816573,9.072693185273982,0.1431231976473093,0.1431231976473093,0.48684434969764745
2008 AK4,2008-2016 AK4 TL Model,2008-2016 AK4,2563.223300291545,2712.6173709115374,1845.8856,72.86516992042813,3.2691238956419197,0.6912453256174091,0.6912453256174091,0.27985766206665114
2008 AK4,2019-2022 Minturn TL Model,2019-2022 Minturn,2563.223300291545,2712.6173709115374,443.45312,517.9262176754877,23.23695911546468,-1.1946307250395898,-1.1946307250395898,0.8269939552478471
2008 AK4,2019-2022 North TL Model,2019-2022 North,2563.223300291545,2712.6173709115374,108.65763,674.9864371927765,30.28352631951351,-1.8601486534061227,-1.8601486534061227,0.9576089875165963
2009 AK4,AK4 MAR Emulator,AK4,2797.838553935861,2855.9885372590807,2641.9702,78.95328770758849,5.164147741892873,0.45856743830436064,0.45856743830436064,0.055710269226522426
2009 AK4,2015-2016 Rio Behar TL Model,2015-2016 Rio Behar,2797.838553935861,2855.9885372590807,1623.4811,120.67028066202538,7.892757546744738,0.17248766864090193,0.17248766864090193,0.41973739806475624
