time,air_temp,ice_temp,albedo,shortwave_down,shortwave_up,longwave_down,longwave_up,sensible_heat_flux,latent_heat_flux,surface_energy_balance,meltwater_runoff
2005-01-01 12:00:00,-32.50579,-36.18803,0.81147945,0.0,0.0,130.96965,178.95567,38.493565,0.6646461,-8.827812,4.252476908555367e-15
2005-01-02 12:00:00,-32.476147,-36.37182,0.81521356,0.0,0.0,125.60781,178.40468,42.1397,0.07369209,-10.583473,4.2552235263619596e-15
2005-01-03 12:00:00,-31.17434,-35.554756,0.8174379,0.0,0.0,127.57362,180.86646,45.37679,0.073501535,-7.8425407,4.2548336002246186e-15
2005-01-04 12:00:00,-29.710196,-34.123795,0.81740224,0.0,0.0,128.88406,185.29596,51.91553,0.16070338,-4.3356614,4.255680320474104e-15
2005-01-05 12:00:00,-30.659111,-34.345863,0.81565404,0.0,0.0,129.43442,184.54982,47.21293,0.39770305,-7.5047703,4.256037230194273e-15
2005-01-06 12:00:00,-30.169033,-34.74001,0.80975664,0.0,0.0,136.22824,183.38315,40.39692,0.36368278,-6.394305,4.256037230194273e-15
2005-01-07 12:00:00,-29.675282,-34.675068,0.8097577,0.0,0.0,132.96028,183.57048,43.404243,0.16182183,-7.0441337,4.256037230285701e-15
2005-01-08 12:00:00,-30.566406,-35.929592,0.8098301,0.0,0.0,131.37657,179.74518,38.080524,0.320446,-9.967636,4.256037231176786e-15
2005-01-09 12:00:00,-30.670013,-36.217216,0.8106517,0.0,0.0,142.41907,179.00935,29.39155,1.0852042,-6.113532,4.256037231176786e-15
2005-01-10 12:00:00,-32.90272,-37.844597,0.8099357,0.0,0.0,129.02397,174.13141,33.07338,1.268228,-10.765829,4.256037231176786e-15
2005-01-11 12:00:00,-32.895443,-36.858994,0.8114008,0.0,0.0,126.322136,176.81233,42.175804,0.5348831,-7.779509,4.252476908555367e-15
2005-01-12 12:00:00,-32.201256,-35.38559,0.81642073,0.0,0.0,123.21387,181.19409,51.151524,0.4802775,-6.3484235,4.2552235263619596e-15
2005-01-13 12:00:00,-34.80073,-37.989574,0.8105689,0.0,0.0,121.8821,173.41147,39.7109,0.6110485,-11.2074175,4.2548336002246186e-15
2005-01-14 12:00:00,-32.94876,-37.338593,0.8098321,0.0,0.0,126.902756,175.49855,41.346363,0.65735257,-6.592079,4.255680320474104e-15
2005-01-15 12:00:00,-26.386013,-30.7392,0.80980134,0.0,0.0,159.72223,195.592,36.274654,1.6856382,2.0905263,4.256037230194273e-15
2005-01-16 12:00:00,-23.784342,-27.759567,0.80977154,0.0,0.0,166.6659,205.80547,39.262207,2.6112876,2.7339225,4.256037230194273e-15
2005-01-17 12:00:00,-29.386187,-33.483437,0.8097707,0.0,0.0,139.32523,187.4573,40.30418,1.3090326,-6.5188675,4.256037230285701e-15
2005-01-18 12:00:00,-30.362963,-35.015232,0.80976564,0.0,0.0,144.44766,182.85799,28.438314,1.2257196,-8.74629,4.256037231176786e-15
2005-01-19 12:00:00,-29.85539,-34.067867,0.80976796,0.0,0.0,145.95499,185.46408,34.044006,1.1973525,-4.2677355,4.256037231176786e-15
2005-01-20 12:00:00,-26.771566,-29.058226,0.80975175,0.0,0.0,173.81467,201.32536,29.04289,0.33131754,1.8635117,4.256037231176786e-15
2005-01-21 12:00:00,-32.71374,-35.439198,0.80974764,0.0,0.0,140.16219,181.2447,29.225279,0.809261,-11.047979,4.252476908555367e-15
2005-01-22 12:00:00,-31.839691,-35.484123,0.8141493,0.0,0.0,124.230705,181.13504,45.908314,1.1856121,-9.81041,4.2552235263619596e-15
2005-01-23 12:00:00,-31.09213,-35.663418,0.8167734,0.0,0.0,120.13283,180.72665,52.474857,0.7432311,-7.3757377,4.2548336002246186e-15
2005-01-24 12:00:00,-29.115799,-32.32267,0.81341726,0.0,0.0,144.36285,190.89922,46.41199,0.69750965,0.5731391,4.255680320474104e-15
2005-01-25 12:00:00,-30.191729,-32.795036,0.81256866,0.0,0.0,136.59613,189.63643,46.030415,-0.6884831,-7.698367,4.256037230194273e-15
2005-01-26 12:00:00,-29.947454,-33.573547,0.81318736,0.0,0.0,151.5045,187.53117,34.17682,1.2834415,-0.566412,4.256037230194273e-15
2005-01-27 12:00:00,-23.117838,-26.98625,0.8099011,0.0,0.0,174.8157,208.35648,33.13013,1.7559747,1.3453339,4.256037230285701e-15
2005-01-28 12:00:00,-26.618393,-30.499676,0.8098031,0.0,0.0,144.29558,196.7533,46.13011,3.0146668,-3.3129394,4.256037231176786e-15
2005-01-29 12:00:00,-25.745607,-29.116653,0.80975443,0.0,0.0,160.58546,201.10909,38.943176,0.513596,-1.0668483,4.256037231176786e-15
2005-01-30 12:00:00,-27.31111,-31.030586,0.8097558,0.0,0.0,133.8111,195.01259,59.243874,-1.2591242,-3.216743,4.256037231176786e-15
2005-01-31 12:00:00,-19.957678,-23.291378,0.8097625,0.0,0.0,181.27344,221.22202,56.276108,-5.095716,11.231813,4.256037231176786e-15
2005-02-01 12:00:00,-28.459993,-30.570639,0.8115471,0.0,0.0,139.24147,196.70567,48.11142,-3.2390373,-12.591821,4.252476908555367e-15
2005-02-02 12:00:00,-34.586945,-37.224247,0.810118,0.0,0.0,126.06391,175.933,35.28123,0.6810292,-13.906827,4.2552235263619596e-15
2005-02-03 12:00:00,-29.369223,-31.584854,0.80976856,0.0,0.0,162.53696,192.92065,29.047272,0.6812876,-0.6551382,4.2548336002246186e-15
2005-02-04 12:00:00,-25.981842,-28.103449,0.80976546,0.0,0.0,180.082,204.69453,28.73911,1.1454947,5.272072,4.255680320474104e-15
2005-02-05 12:00:00,-23.198597,-24.780766,0.80974936,0.0,0.0,184.10222,216.11789,37.33775,-5.837652,-0.5155735,4.256037230194273e-15
2005-02-06 12:00:00,-30.910055,-33.658474,0.8107598,0.0,0.0,133.62515,186.75398,41.47876,0.6080824,-11.041987,4.256037230194273e-15
2005-02-07 12:00:00,-36.189594,-38.892097,0.81467193,0.0,0.0,110.21396,170.81773,40.765957,-0.095691785,-19.93351,4.256037230285701e-15
2005-02-08 12:00:00,-36.790867,-40.035614,0.810089,0.0,0.0,127.44469,167.49426,28.058598,0.16967858,-11.8213,4.256037231176786e-15
2005-02-09 12:00:00,-31.893188,-33.19389,0.8097499,0.0,0.0,175.27466,187.51918,11.234693,-0.15011767,-1.1599472,4.256037231176786e-15
2005-02-10 12:00:00,-32.995358,-35.87773,0.8097475,0.0,0.0,143.04338,179.34679,25.870413,-0.15829149,-10.591285,4.256037231176786e-15
2005-02-11 12:00:00,-31.584795,-35.154316,0.8097488,0.0,0.0,137.64552,181.80368,40.45607,-0.058961906,-3.7610493,4.252476908555367e-15
2005-02-12 12:00:00,-31.674759,-34.813972,0.8105886,0.0,0.0,139.54607,182.89491,34.899837,0.41042963,-8.038579,4.2552235263619596e-15
2005-02-13 12:00:00,-25.854145,-29.397148,0.8111213,0.0,0.0,163.2618,201.41458,46.63143,0.599738,9.078383,4.2548336002246186e-15
2005-02-14 12:00:00,-16.326756,-19.176477,0.8100015,0.0,0.0,211.0674,236.38318,35.398838,1.9882418,12.0713,4.255680320474104e-15
2005-02-15 12:00:00,-20.707342,-22.89879,0.80974674,0.0,0.0,202.54749,222.73843,24.389126,1.3225772,5.520755,4.256037230194273e-15
2005-02-16 12:00:00,-27.579977,-30.19114,0.8097176,0.0,0.0,165.91687,198.20316,18.631802,0.6419096,-13.012574,4.256037230194273e-15
2005-02-17 12:00:00,-30.500217,-34.158203,0.8097329,0.0,0.0,141.401,185.22299,34.17028,0.531762,-9.119948,4.256037230285701e-15
2005-02-18 12:00:00,-30.73664,-34.23218,0.815429,0.002070657,0.0016953206,124.1563,185.04955,50.124763,-0.5827018,-11.350806,4.256037231176786e-15
2005-02-19 12:00:00,-30.10205,-35.036793,0.8108865,0.06419702,0.05187811,136.43713,182.57265,39.63696,1.3334786,-5.152758,4.256037231176786e-15
2005-02-20 12:00:00,-18.744741,-19.559471,0.80977416,0.18062045,0.14080024,228.79126,234.8662,27.160492,-4.778951,16.346424,4.256037231176786e-15
2005-02-21 12:00:00,-24.119137,-26.371008,0.81008,0.49497837,0.37806422,170.46883,210.6843,38.60897,-0.9764898,-2.4660757,4.252476908555367e-15
2005-02-22 12:00:00,-27.05231,-30.21947,0.81120443,0.9511709,0.72360694,151.74901,197.7054,35.761433,0.81442964,-9.152963,4.2552235263619596e-15
2005-02-23 12:00:00,-29.685781,-33.800316,0.8175769,1.7962501,1.3764169,124.02002,186.35207,50.318287,0.9351128,-10.6588125,4.2548336002246186e-15
2005-02-24 12:00:00,-21.025625,-25.034657,0.8130116,1.8983332,1.4259688,182.2771,216.49846,46.541153,1.4805495,14.27271,-2.7896568542200566e-08
2005-02-25 12:00:00,-11.658991,-15.072661,0.8115956,2.9448438,2.206078,212.42975,252.15103,50.722694,1.3294691,13.069646,-2.017553688494496e-08
2005-02-26 12:00:00,-17.789267,-20.953304,0.81161785,3.4955156,2.6223729,179.12572,229.92091,49.557415,2.2825062,1.917867,4.256037230194273e-15
2005-02-27 12:00:00,-13.927564,-14.926346,0.80973774,3.2092786,2.4131474,243.94325,252.38474,20.214886,-1.0765731,11.492961,4.256037230285701e-15
2005-02-28 12:00:00,-22.723507,-26.302876,0.81427866,7.032663,5.358563,152.90945,211.57658,43.846752,1.0333729,-12.1129055,4.256037231176786e-15
2005-03-01 12:00:00,-20.431997,-23.28177,0.8101785,5.351717,4.045501,201.02734,221.36667,22.285622,-0.5946455,2.6578665,4.252476908555367e-15
2005-03-02 12:00:00,-20.508518,-21.90586,0.80975235,4.1091137,3.1495311,214.17342,226.17741,12.81531,0.07815694,1.849051,4.2552235263619596e-15
2005-03-03 12:00:00,-29.639063,-31.513985,0.81218964,11.023138,8.426369,140.19373,193.90388,32.344234,-0.74108815,-19.510242,4.2548336002246186e-15
2005-03-04 12:00:00,-35.36627,-39.667656,0.8162482,13.404801,10.271591,110.69819,168.78374,34.302326,0.2349643,-20.415049,4.255680320474104e-15
2005-03-05 12:00:00,-29.569162,-32.960865,0.81002563,10.739208,8.125508,163.54623,188.89987,20.445156,0.9264315,-1.3683493,4.256037230194273e-15
2005-03-06 12:00:00,-23.8231,-26.70682,0.81121874,10.452054,7.92286,189.16484,209.1082,20.232721,2.1121533,4.930709,4.256037230194273e-15
2005-03-07 12:00:00,-13.564593,-15.851624,0.81137717,13.740721,10.444507,212.4729,248.57983,44.44099,2.241328,13.8716,4.256037230285701e-15
2005-03-08 12:00:00,-13.298019,-15.962704,0.8100815,18.229282,13.985011,207.63477,248.51424,47.139652,-1.7906209,8.713831,4.256037231176786e-15
2005-03-09 12:00:00,-23.745785,-27.222366,0.813886,22.444588,17.086113,155.57367,207.97928,35.82241,1.2882148,-9.936509,4.256037231176786e-15
2005-03-10 12:00:00,-23.275202,-26.471325,0.8101186,18.814087,14.358979,168.22455,210.59541,34.20893,2.196505,-1.5103202,4.256037231176786e-15
