t2m,ts,al2,swd,date,dailyQ,time,runoff
-0.012455259,-3.7624524,0.5179639,128.7628,2019-09-06,25018.249507200002,2019-09-06,0.11300691010714728
-1.4201052,-4.8046417,0.5211178,126.32357,2019-09-07,20366.1369792,2019-09-07,0.09199341505391692
-3.0007586,-5.2847366,0.5191148,113.460556,2019-09-08,17931.894048,2019-09-08,0.08099799061281403
-1.8425462,-4.099309,0.52471507,99.82966,2019-09-09,15103.040025600001,2019-09-09,0.06822011612069188
-2.4508421,-5.09825,0.5256644,97.87092,2019-09-10,12700.9561248,2019-09-10,0.05736995334773648
-3.27074,-5.052894,0.52537847,97.077446,2019-09-11,13018.3198272,2019-09-11,0.058803478558126066
-3.5435488,-5.6986794,0.52146834,92.41579,2019-09-12,15385.1692896,2019-09-12,0.06949448810927837
-5.35775,-7.9881935,0.52187604,99.08754,2019-09-13,13606.3370592,2019-09-13,0.061459540104676476
-5.2486825,-8.717803,0.5206963,93.28174,2019-09-14,14262.122476800001,2019-09-14,0.06442170912913096
-5.412581,-7.8830914,0.5188551,89.80846,2019-09-15,14538.785644799998,2019-09-15,0.0656713908763346
-5.3901925,-7.342443,0.5187201,78.84328,2019-09-16,14077.680336,2019-09-16,0.06358858783423951
-3.4221675,-4.9825125,0.53222054,72.43053,2019-09-17,15368.775235199999,2019-09-17,0.06942043650821254
-5.2744064,-7.804278,0.5334723,75.31341,2019-09-18,13893.2381952,2019-09-18,0.06275546653934808
-5.993125,-8.667821,0.52848774,60.35349,2019-09-19,14815.448899199999,2019-09-19,0.06692107301380523
-5.8688617,-9.276964,0.53366125,76.899574,2019-09-20,14999.89104,2019-09-20,0.06775419430869667
-4.902662,-8.860815,0.5299858,50.646423,2019-09-21,15645.4384896,2019-09-21,0.07067011864568319
-2.1152806,-5.784587,0.5275063,57.025654,2019-09-22,15922.1016576,2019-09-22,0.07191980039288684
-2.3850834,-4.874709,0.5272725,37.593243,2019-09-23,16014.3227712,2019-09-23,0.07233636123546605
-4.555531,-5.4221883,0.5954651,41.24074,2019-09-24,16519.4260704,2019-09-24,0.07461790228057759
-5.1161084,-5.940545,0.6814496,44.21725,2019-09-25,20425.76784,2019-09-25,0.092262766405781
-3.413857,-4.07459,0.7154308,8.789894,2019-09-26,17083.1292192,2019-09-26,0.07716413762151238
1.3448583,-1.0252348,0.6924482,49.129272,2019-09-27,12410.337715200001,2019-09-27,0.05605723606590996
2.9968722,-0.6119545,0.65124553,47.687305,2019-09-28,12822.123398400001,2019-09-28,0.05791726339001992
1.5528132,-0.9221539,0.62894994,31.24805,2019-09-29,15092.1120672,2019-09-29,0.0681707547610089
1.5789013,-0.28059712,0.58511925,13.929674,2019-09-30,12662.0300736,2019-09-30,0.05719412518807572
0.26615366,-0.9199867,0.61081034,16.434206,2019-10-01,14294.164608,2019-10-01,0.06456644276603539
-1.4779292,-3.366737,0.6215969,24.313154,2019-10-02,13594.745289600001,2019-10-02,0.061407180323677694
-1.1571215,-4.2898726,0.6229507,17.023886,2019-10-03,14999.89104,2019-10-03,0.06775419430869667
-1.5114199,-4.243812,0.6192985,18.296934,2019-10-04,15862.8791232,2019-10-04,0.07165229344283695
-4.665591,-6.576468,0.63666356,22.519209,2019-10-05,19542.4132032,2019-10-05,0.08827267197471939
-5.5035553,-5.919725,0.6807228,18.355177,2019-10-06,15764.152521600001,2019-10-06,0.07120634744693567
-4.678062,-5.049889,0.7060213,13.753614,2019-10-07,15512.6843712,2019-10-07,0.07007047106761963
-5.2115374,-6.252969,0.72095793,16.1425,2019-10-08,18158.2968672,2019-10-08,0.08202064741500062
-4.2431455,-5.1744895,0.7195814,18.738113,2019-10-09,14999.89104,2019-10-09,0.06775419430869667
-3.1854014,-4.741234,0.71455,18.00262,2019-10-10,14606.1048096,2019-10-10,0.06597547013667024
-4.172053,-4.9795594,0.6875773,8.35549,2019-10-11,12883.516992,2019-10-11,0.058194576969097994
-3.7697017,-4.974503,0.68438447,12.961942,2019-10-12,11923.3051488,2019-10-12,0.0538573201431521
-7.39416,-9.65801,0.6886958,15.745547,2019-10-13,11923.3051488,2019-10-13,0.0538573201431521
-7.6264277,-8.286212,0.68824005,5.3800583,2019-10-14,12883.516992,2019-10-14,0.058194576969097994
-5.8137903,-6.023275,0.71893245,6.845588,2019-10-15,12251.6273088,2019-10-15,0.0553403444774736
-8.244734,-8.744856,0.7182225,7.4898143,2019-10-16,14354.343504,2019-10-16,0.06483826958144316
-8.594787,-9.106064,0.7167776,5.8367643,2019-10-17,17392.7909664,2019-10-17,0.07856287326124536
-10.698061,-13.172965,0.7155368,7.5094514,2019-10-18,22754.331734400002,2019-10-18,0.10278084084649997
-13.717225,-19.425947,0.720916,6.961936,2019-10-19,20656.009152,2019-10-19,0.09330276159971525
-16.56113,-20.263987,0.7218881,6.1621566,2019-10-20,20342.043734400002,2019-10-20,0.09188458637073829
0.82270354,-1.4030176,0.64226025,374.30362,2020-06-16,152300.533824,2020-06-16,0.687938327985983
0.1292835,-1.5456259,0.6422685,371.17697,2020-06-17,22703.6745504,2020-06-17,0.1025520234051789
0.016422136,-1.6860263,0.64006346,368.30203,2020-06-18,9516.6665856,2020-06-18,0.0429865840553348
0.19727953,-1.6078824,0.6238118,366.88226,2020-06-19,34665.125904,2020-06-19,0.15658164915810285
2.9556317,-0.7581344,0.6100806,338.30817,2020-06-20,47039.2317792,2020-06-20,0.2124752267600296
4.9976277,-0.3699077,0.5595357,372.4315,2020-06-21,60592.3418592,2020-06-21,0.273694341712179
3.0303571,-0.1895395,0.54668343,176.82947,2020-06-22,66667.5410976,2020-06-22,0.3011358896917568
1.6108724,-0.10639457,0.5393134,325.67892,2020-06-23,113168.34864000001,2020-06-23,0.5111790654279905
4.1680803,-0.3140761,0.552049,370.64502,2020-06-24,57879.6008832,2020-06-24,0.26144094742371843
2.3261743,-0.22284624,0.55173635,321.61874,2020-06-25,203700.72222720002,2020-06-25,0.9201119046664461
3.354581,-0.11344522,0.5459796,316.03705,2020-06-26,104625.9505728,2020-06-26,0.47259323190667557
5.4306097,-0.1643327,0.5433647,369.71512,2020-06-27,109931.4263808,2020-06-27,0.49655795523944735
5.9889884,-0.22173892,0.5438471,371.27817,2020-06-28,165440.0401056,2020-06-28,0.747289203225665
6.300682,-0.03924324,0.51733035,363.66693,2020-06-29,268071.0177888,2020-06-29,1.2108711842877784
