t2m,ts,al2,swd,date,dailyQ,time,runoff
-5.420612,-8.414425,0.67098266,101.14942,2019-09-05,2772144.0864,2019-09-05,0.7450053250645945
-6.240808,-9.563612,0.6736486,123.54146,2019-09-06,3510149.580864,2019-09-06,0.943342065928819
-9.098549,-11.012141,0.6746793,117.504425,2019-09-07,2967899.05872,2019-09-07,0.797613880839797
-8.525506,-12.191125,0.67624676,113.882385,2019-09-08,1223101.885248,2019-09-08,0.32870492629755127
-8.364565,-10.867435,0.67363995,75.94203,2019-09-09,995160.434112,2019-09-09,0.2674463518488465
-9.285198,-11.323028,0.67921,85.32262,2019-09-10,1218589.592544,2019-09-10,0.32749226130325226
-11.200371,-13.09023,0.72333497,91.76474,2019-09-11,1071904.561056,2019-09-11,0.2880711034702394
-12.154703,-14.560867,0.7367051,90.65527,2019-09-12,1092920.8176,2019-09-12,0.293719158748108
-13.166547,-16.298552,0.74482685,92.29709,2019-09-13,789776.2337184,2019-09-13,0.212249970200419
-12.632773,-16.042624,0.74137425,84.09486,2019-09-14,701692.5996864,2019-09-14,0.1885777604019374
-10.781933,-14.000622,0.7393924,61.465416,2019-09-15,866297.0018879999,2019-09-15,0.23281469482785289
-11.488027,-14.7271185,0.7447447,80.328255,2019-09-16,883086.116832,2019-09-16,0.2373267186067629
-10.652974,-13.746953,0.7445581,76.5327,2019-09-17,756404.9256096,2019-09-17,0.2032815322438936
-13.680342,-17.294432,0.7485654,77.06948,2019-09-18,677499.6092832,2019-09-18,0.1820759675232609
-15.317611,-19.207188,0.7475511,73.79054,2019-09-19,669404.3794272,2019-09-19,0.1799003990237988
-16.280848,-20.662786,0.7487387,71.64511,2019-09-20,645118.6898591999,2019-09-20,0.1733736935254126
-15.99883,-20.73595,0.74763244,67.10236,2019-09-21,645118.6898591999,2019-09-21,0.1733736935254126
-11.198527,-15.6748705,0.7446039,50.403965,2019-09-22,645118.6898591999,2019-09-22,0.1733736935254126
-5.83533,-9.640803,0.74537337,30.002123,2019-09-23,645118.6898591999,2019-09-23,0.1733736935254126
-7.806794,-10.685939,0.75132537,38.57368,2019-09-24,717697.6610688,2019-09-24,0.19287907216144207
-1.4596758,-4.3479,0.7646911,36.138603,2019-09-27,790276.6322784,2019-09-27,0.2123844507974715
-0.6727531,-4.982518,0.7550783,37.9864,2019-09-28,790276.6322784,2019-09-28,0.2123844507974715
-2.666826,-6.6264033,0.74691945,28.63015,2019-09-29,790276.6322784,2019-09-29,0.2123844507974715
-25.135431,-29.910242,0.8094533,91.61186,2020-03-31,1201802.1096959999,2020-03-31,0.3229806761451979
-21.792595,-22.700453,0.8094559,63.167553,2020-04-01,1175968.22544,2020-04-01,0.3160378980146367
-20.215462,-21.243395,0.8094705,69.15036,2020-04-02,839404.2064896,2020-04-02,0.225587337535722
-20.232786,-24.015236,0.8098481,85.48655,2020-04-03,839404.2064896,2020-04-03,0.225587337535722
-18.817072,-23.030197,0.8098296,89.17322,2020-04-04,645118.6898591999,2020-04-04,0.1733736935254126
-14.203724,-15.395674,0.8094923,67.23073,2020-04-05,790276.6322784,2020-04-05,0.2123844507974715
-17.665554,-20.993097,0.809527,120.654816,2020-04-06,645118.6898591999,2020-04-06,0.1733736935254126
-17.557095,-23.982595,0.81254464,129.157,2020-04-07,645118.6898591999,2020-04-07,0.1733736935254126
-21.182995,-24.66865,0.81497467,143.41823,2020-04-10,839404.2064896,2020-04-10,0.225587337535722
-20.89715,-25.164375,0.8130396,137.82442,2020-04-11,645118.6898591999,2020-04-11,0.1733736935254126
-18.98851,-23.979513,0.8095449,141.86812,2020-04-12,742261.4482176001,2020-04-12,0.19948051554217722
-13.213389,-13.761443,0.80959135,87.50562,2020-04-14,839404.2064896,2020-04-14,0.225587337535722
-16.422482,-19.445791,0.8121926,134.94121,2020-04-18,839404.2064896,2020-04-18,0.225587337535722
1.351125,-1.3820168,0.70099914,218.25658,2020-06-22,16006248.61344,2020-06-22,4.301630824249996
-0.24684125,-1.3733798,0.7210867,303.6979,2020-06-23,13557867.773759998,2020-06-23,3.64363589090708
2.3863423,-1.7669249,0.704272,387.9323,2020-06-24,13848480.023039998,2020-06-24,3.7217370524970477
2.8080432,-1.3786582,0.69754267,374.33594,2020-06-25,17663368.44672,2020-06-25,4.7469767592324
3.546201,-0.40626764,0.6727187,350.88516,2020-06-26,20563732.28448,2020-06-26,5.526440754035807
4.642013,-0.56058323,0.66196084,385.34198,2020-06-27,20914622.41824,2020-06-27,5.620741414469122
4.8287373,-0.84247494,0.6564144,391.43402,2020-06-28,22615850.47104,2020-06-28,6.077941299822552
4.7056136,-0.57865804,0.6534629,356.4661,2020-06-29,26141414.40288,2020-06-29,7.025425925878702
3.6744478,-0.5472106,0.6507491,308.9393,2020-06-30,27770585.37408,2020-06-30,7.463260688847629
3.622125,-0.020869812,0.6304084,293.0908,2020-07-01,23561642.0592,2020-07-01,6.332119923883735
3.550101,-0.52702564,0.6532379,341.29916,2020-07-02,24154617.85632,2020-07-02,6.491480372951346
