t2m,ts,al2,swd,date,dailyQ,runoff
1.142363,-1.2406161,0.45031673,275.0194,2008-08-09,850618.8,24.79938192419825
1.2725266,-1.033673,0.45193198,247.47546,2008-08-10,862560.0,25.147521865889214
1.143256,-1.3552806,0.44996688,261.5974,2008-08-11,814370.4,23.74257725947522
1.4902308,-1.1272172,0.45291126,212.48523,2008-08-12,718563.6,20.94937609329446
1.8471534,-0.79979825,0.4511647,159.96655,2008-08-13,973333.8,28.377078717201165
1.8212975,0.0,0.47593296,118.187454,2008-08-14,1325505.6,38.64447813411079
0.68473685,-0.52118504,0.5183158,191.79056,2008-08-15,946575.0,27.596938775510203
-0.6089381,-2.12413,0.5517146,253.686,2008-08-16,723110.4,21.08193586005831
0.29487917,-1.868569,0.525396,167.77927,2008-08-17,721861.2,21.045516034985422
3.7947726,0.0,0.47427493,70.16208,2008-08-18,985663.8,28.736553935860062
2.6830075,-8.720822e-05,0.4531886,132.54579,2008-08-19,1175992.2,34.285486880466465
2.3312576,-0.036536533,0.448691,230.76453,2008-08-20,1046977.2,30.524116618075798
2.1906276,-0.05299546,0.51534903,51.881695,2008-08-21,1111437.0,32.4034110787172
-0.5577204,-1.4369535,0.5934695,164.9182,2008-08-22,586321.2,17.093912536443145
-1.2102847,-1.1169603,0.8440747,142.89352,2008-08-23,78471.0,2.2877842565597666
-1.8423345,-1.5796025,0.8420033,161.07059,2008-08-24,0.0,0.0
-5.0851107,-5.891432,0.83087564,213.36847,2008-08-25,0.0,0.0
-6.0760784,-7.8338833,0.8334911,219.99721,2008-08-26,0.0,0.0
-0.434421,-2.3131108,0.8076919,152.51265,2008-08-27,0.0,0.0
-0.7798409,-1.3330088,0.7929416,157.91615,2008-08-28,0.0,0.0
-3.1922505,-3.915681,0.8265558,175.50566,2008-08-29,0.0,0.0
-0.8058426,-3.731744,0.7968825,208.93645,2008-08-30,0.0,0.0
-0.049859703,-2.8684278,0.7932485,204.61462,2008-08-31,0.0,0.0
1.4489945,-1.0095971,0.71161115,140.34326,2008-09-01,33330.6,0.971737609329446
3.2533553,0.0,0.6178129,101.98578,2008-09-02,665123.4,19.3913527696793
1.521438,0.0,0.5709639,119.914825,2008-09-03,693894.6,20.230163265306125
0.5712611,-1.0755937,0.58635485,177.31035,2008-09-04,512064.0,14.928979591836734
2.4841065,-0.072963186,0.55341583,59.59934,2008-09-05,567005.4,16.530769679300295
0.4851533,-0.01741653,0.5998802,55.69964,2008-09-06,703744.2,20.517323615160347
-0.48063502,-0.554086,0.83862233,91.07474,2008-09-07,340061.4,9.914326530612247
-2.2669609,-3.3502607,0.8604955,151.22345,2008-09-08,81016.2,2.3619883381924196
-6.7405686,-8.594803,0.8594227,156.80081,2008-09-09,0.0,0.0
-2.3429446,-4.7351694,0.85658616,146.0199,2008-09-10,0.0,0.0
-3.5109894,-6.084633,0.85542923,166.93172,2008-09-11,0.0,0.0
-4.4895387,-7.4843626,0.8534328,162.37057,2008-09-12,0.0,0.0
-6.233771,-8.5873575,0.8487272,154.20401,2008-09-13,0.0,0.0
-2.5045037,-5.4765577,0.8469535,148.52574,2008-09-14,0.0,0.0
-1.1304035,-2.5017047,0.8411739,86.64537,2008-09-15,0.0,0.0
-9.52191,-11.512545,0.85307884,152.92374,2008-09-16,0.0,0.0
-6.8074384,-8.862001,0.84880066,125.30908,2008-09-17,0.0,0.0
-5.6183844,-7.506256,0.8478739,99.36102,2008-09-18,0.0,0.0
-5.4189577,-5.6494937,0.8463661,89.17231,2008-09-19,0.0,0.0
-6.1496954,-7.0172195,0.83226967,95.80211,2008-09-20,0.0,0.0
-5.7220445,-7.5581136,0.83427984,90.065605,2008-09-21,0.0,0.0
